"","utm_easting","utm_northing","Basal","TPH","Elevation","Volume","Height","Site_index"
"1",448369,6315857,131.25,3170.1137382,1361,675.1741638,13.475,8.194799805
"2",453022,6335602,106.2,2030.7315814,1458,621.4041708,16.76,8.565097656
"3",462234,6302961,72,1716.9693025,1336,481.5046132,14.175,10.66415591
"4",463307,6306923,69.828,1609.1403874,1122,586.3813318,17.95,12.10948758
"5",463415,6307118,113.344,2517.7759811,1122,833.2407682,16.75,12.89754265
"6",467537,6335482,96.6,4779.673896,1103,759.63184609,15.66,9.974108921
"7",471556,6368450,77.4,2863.3342808,1320,476.6060458,13.74375,10.70359497
"8",475925,6334914,82,1291.5557736,1501,421.29230376,12.03333333,9.606575521
"9",479950,6335347,53.666666667,3409.3800546,1240,232.11714972,11.35,9.099659749
"10",480366,6359262,0,0,1220,0,11.26,4.920375832
"11",483009,6303973,8,206.87878932,1644,29.286193608,8.6,6.706152344
"12",487001,6298991,156.6,3745.2352902,1273,1335.6245776,21.3,9.087939453
"13",487495,6275337,144,2662.090602,1400,1030.5271639,20.06666667,13.39518229
"14",489591,6272645,149.4,2598.9424927,1234,1181.8978118,24.3,16.81062826
"15",490882,6340515,86.4,1427.7177772,1395,522.901738,15.16,10.99203125
"16",494342,6287672,153,2172.4915492,1229,1415.6783515,26.325,8.675268555
"17",495374,6267286,112,2929.22406,1179,1061.6618325,22.375,15.41155867
"18",499112,6375784,65,7338.80914472,946,283.04442861,9.84,3.928613281
"19",499959,6262271,140,3303.3428158,1559,810.7798639,15.825,10.14572754
"20",500093,6326173,74.2,5139.7616339,1346,404.85690391,11.26,4.920375832
"21",502748,6365112,90,5090.7309625,1085,473.64874621,13.5,6.908268229
"22",503618,6357360,56,10434.38314636,1122,226.53542481,9.025,6.854589844
"23",503846,6294673,1.8,815.8886506,1271,3.414086901,4.3,14.59133644
"24",505224,6354801,25.3,2919.12933932,1171,108.121711897,6.4833333335,11.20269736
"25",505981,6304997,141.6,2157.7442234,1012,1281.7038072,27.275,11.9802063
"26",506419,6251595,156,6996.0169356,1053,1510.5324954,21.36,16.42425924
"27",507282,6311943,198,7585.0965595,1252,1413.591506,16.52,7.535241813
"28",509075,6349227,84,6630.0032711,947,416.27648917,13.82,12.66003906
"29",510449,6302407,86.4,6380.2959749,956,396.10696734,13.53333333,17.83221684
"30",510994,6366274,95.4,5918.9375644,1115,549.88452532,13.23333333,6.784830729
"31",514226,6397349,129.6,7754.5990076,772,891.0835316,20.1,11.02060547
"32",519914,6399113,61.732,3657.4852533,669,364.97150796,12.42,11.90108836
"33",520783,6236048,196,4401.996028,734,1623.3009148,25.175,13.7144043
"34",523128,6304756,34.408,1227.1689827,997,238.66802609,16.5,17.61181641
"35",523285,6257175,97.2,6778.1929101,1218,615.7907689,11.2,6.364314075
"36",532821,6271798,119,11794.7545448,801,682.34855215,17.94,16.90070313
"37",533365,6249234,151.2,1894.7818016,1082,1522.864754,25.26,14.81417878
"38",535453,6350310,135,9338.3972755,1083,901.3713672,18.13333333,11.5666329
"39",535920,6354192,24,388.16321456,938,130.93644124,17.03333333,19.16666667
"40",536216,6236096,53.2,5926.7876753,1345,191.21243008,9.82,16.49239828
"41",537714,6382340,4,48.816324,889,27.044961012,14.7,12.93427734
"42",539208,6325420,28,1595.72664102,945,169.75659433,14.6,10.83109447
"43",540288,6421930,144.55,3292.1188618,947,1096.8398082,17.7,18.34453352
"44",540491,6332074,58.8,4251.2439146,981,370.31432783,14.3,8.190795898
"45",541732,6295169,122.4,2738.8252555,876,1127.09702,23.7,16.06017578
"46",545399,6402934,276,6893.8428542,586,2709.4105459,27.4,23.07563477
"47",546175,6390595,44,2482.9059917,870,216.99434555,14.7,11.21025391
"48",547788,6403616,211.2,2587.463924,482,2220.494846,33.6,18.69342773
"49",548725,6382283,151.2,8839.6660277,941,941.1297622,17.12,8.824394531
"50",550872,6253304,147,2358.10329,1120,1325.3909236,26.44,17.68929688
"51",552743,6259637,180,5291.4588107,889,1453.9201123,26.125,11.85270996
"52",553761,6231373,110,907.07731,889,826.0870676,21.15,20.02910492
"53",554174,6354932,85.4,3454.434472,940,647.4650381,19.08,9.807216797
"54",561982,6350186,98,1528.610492,1120,1146.9451336,25.1,13.64695133
"55",564812,6350858,112,5814.7812786,861,747.3421074,16.325,10.48212891
"56",569337,6394495,106.2,5829.2483145,816,718.7700944,17.45,10.82806396
"57",574661,6384900,127.8,2861.4915722,822,1262.5552155,23.4,14.93783199
"58",577142,6312988,30.6,5130.1765919,817,174.72531092,12.33,15.996918865
"59",578592,6269161,91.08,8068.0496328,711,507.37455831,15.8,16.45087891
"60",579435,6362962,97.2,9821.92940572,948,542.57264073,13.275,8.9514826905
"61",581668,6404115,115.2,3018.3359068,545,1112.5394991,25.05,12.46690674
"62",581840,6443929,120.6,1501.4232635,497,1282.2458243,30.025,21.87197266
"63",582235,6284236,120,10864.0245758,828,771.15966527,17.5625,14.218481445
"64",584489,6315686,18,3250.090461,839,77.35268317,11.925,11.92597656
"65",585956,6289574,175,4363.4743215,809,1360.0477243,20.2,18.12871094
"66",586536,6338839,58.696,1828.2476868,654,535.4700728,21.725,11.88934661
"67",588059,6263357,167.4,5464.2694448,716,1484.7650445,26.76,13.89818359
"68",588492,6269030,128.8,2205.5313644,831,1139.2336892,23.44,21.33304782
"69",590609,6294821,45,5606.4928998,841,211.8607108,11.34,10.79680151
"70",592105,6356932,32.384,3167.37602641,825,137.399120561,10.625,5.349719238
"71",594432,6271798,110.6,7690.0088767,875,698.27688461,18.525,17.671567385
"72",595835,6257622,183.4,6592.1789537,841,1367.1982375,25.2,23.08344727
"73",598391,6385199,58.8,2167.0389674,789,487.09877521,20.05,15.47673604
"74",604955,6283788,169.2,9245.4187306,704,1120.4968661,17.575,16.13650391
"75",608878,6341600,158.2,6456.6104149,768,1293.8811555,20.2,13.28922119
"76",609813,6419050,98,1280.2895832,1220,1134.6532628,27.025,22.42979736
"77",610500,6401912,198,2710.4433776,749,1927.7191786,29.12,21.46466797
"78",610771,6272014,60.72,1754.0356871,100,620.0757492,27.95,16.74248047
"79",619949,6359670,57.4,6312.2010871,899,304.29014438,10.28,12.38934936
"80",623836,6409657,16,202.95820364,597,112.0747474,16.2,11.33330078
"81",626116,6315447,96.25,7738.6195585,839,755.70211543,16.975,16.93414748
"82",627307,6462332,127.8,1836.3331645,434,1432.577063,32.875,25.47397461
"83",630497,6418085,102.66666667,9148.5884178,556,636.31100706,17.5,15.08027344
"84",634350,6335135,120,11603.9157146,800,1036.68078529,18.74,18.90345798
"85",636588,6299873,95,11180.85723417,687,600.6646733,16.06,16.76341797
"86",637348,6361339,72.8,4903.39088322,883,485.46935961,14.925,9.084747348
"87",638114,6423283,162,3408.84199,595,1830.7774456,30.475,23.9043457
"88",640990,6323841,91.25,7139.2046743,841,694.21906191,16.975,16.86292892
"89",641389,6275839,70,2735.1519525,673,584.247399,21.85,20.57480469
"90",647099,6420405,6,1745.1843744,663,17.080112541,7.3,9.4625
"91",647998,6352692,12,2534.9731109,881,36.54563402,7.9,4.475520833
"92",649286,6407801,156,3672.6684243,623,1651.9572233,30.975,13.70179443
"93",652188,6432406,120,2177.6944352,575,1018.0664452,23.725,19.17529297
"94",657986,6339961,65,6064.5154111,800,409.07860687,13.36,13.32497352
"95",658194,6427357,5,1015.3486986,635,17.000671094,7.12,9.268014049
"96",658272,6229135,95.4,3433.4059831,490,790.056831,22.83333333,21.31328125
"97",659494,6229688,41,1754.0103152,466,249.89734871,21.5,21.1850589425
"98",659642,6331579,33.75,6975.788967,1120,156.38725966,9.84,9.952367605
"99",659698,6413070,3,1288.731613,688,8.052463893,6.64,6.639140625
"100",661674,6305857,32.384,570.3231832,727,203.7738176,19.4,20.53076172
"101",662076,6416979,91,5914.0685582,682,499.94006939,15.4,5.044433594
"102",662905,6284857,172.8,4311.0504243,734,1759.8314279,28.85,12.32921143
"103",669979,6283375,81.25,3838.8555243,753,628.680581,17.4,16.66948736
"104",673139,6333429,99,12885.7675135,809,655.77121627,15.6,14.58763319
"105",673912,6335196,120.6,8586.1258925,840,1018.6689061,20.505,19.9701855425
"106",674068,6408978,57.6,1948.1363934,779,470.2595157,22.25,19.70582275
"107",675173,6361080,56.25,6329.46366682,807,355.47928435,17.43333333,18.13098958
"108",682151,6236756,9,1065.63889588,696,45.3989699,8.7,13.0726571875
